d,6d,C_meas,S_adm,C_times_S,C0_over_S
1,6,158.241,0.3969,62.808,158.083
2,12,59.231,1.0584,62.692,59.281
3,18,79.018,0.7938,62.727,79.042
4,24,124.384,0.5040,62.692,124.490
5,30,39.514,1.5877,62.734,39.521
6,36,137.511,0.4559,62.697,137.617
7,42,41.437,1.5121,62.655,41.497
8,48,75.221,0.8356,62.855,75.089
9,54,106.071,0.5880,62.372,106.706
10,60,48.809,1.2842,62.683,48.858
11,66,113.995,0.5496,62.648,114.171
12,72,57.589,1.0905,62.802,57.538
13,78,60.591,1.0349,62.707,60.628
14,84,89.829,0.6968,62.595,90.045
15,90,44.064,1.4325,63.120,43.802
16,96,116.259,0.5415,62.957,115.868
17,102,62.159,1.0177,63.261,61.652
18,108,66.926,0.9257,61.957,67.778
19,114,100.079,0.6238,62.426,100.590
20,120,50.965,1.2337,62.873,50.861
21,126,92.074,0.6860,63.165,91.462
22,132,54.791,1.1520,63.121,54.465
23,138,49.834,1.2598,62.783,49.804
24,144,152.987,0.4087,62.522,153.533
25,150,47.882,1.3086,62.659,47.948
26,156,83.441,0.7491,62.504,83.763
27,162,76.933,0.8153,62.722,76.962
28,168,43.641,1.4429,62.967,43.487
29,174,125.364,0.5025,62.991,124.875
30,180,35.111,1.7848,62.666,35.155
